company_name,website,email,industry,country,description
CJDropshipping,https://cjdropshipping.com,cj@cjdropshipping.com,dropshipping,CN,World's largest dropshipping fulfillment platform from China
DSers,https://dsers.com,support@dsers.com,dropshipping,CN,Official AliExpress dropshipping partner app for Shopify
Wiio Dropshipping,https://wiio.io,support@wiio.io,dropshipping,CN,China-based dropshipping supplier and fulfillment
DropSure,https://dropsure.com,info@dropsure.com,dropshipping,CN,China dropshipping supplier with global fulfillment
EPROLO,https://eprolo.com,admin@eprolo.com,dropshipping,CN,Free dropshipping platform with China sourcing
HyperSKU,https://hypersku.com,info@hypersku.com,dropshipping,CN,Cross-border dropshipping and private label from China
Sup Dropshipping,https://supdropshipping.com,support@supdropshipping.com,dropshipping,CN,China dropshipping agent and fulfillment service
KakaClo,https://kakaclo.com,bd@kakaclo.com,dropshipping,CN,China fashion dropshipping B2B platform
Nihao Dropshipping,https://nihaodropshipping.com,support@nihaodropshipping.com,dropshipping,CN,China wholesale and dropshipping supplier
Trendsi,https://trendsi.com,hello@trendsi.com,dropshipping,CN,Fashion dropshipping from China to US
Printify,https://printify.com,support@printify.com,dropshipping,CN,Print-on-demand with Chinese production partners
Sellvia,https://sellvia.com,hello@sellvia.com,dropshipping,US_CN,Dropshipping platform connecting China suppliers to US
Yakkyofy,https://yakkyofy.com,info@yakkyofy.com,dropshipping,CN,China dropshipping with automated customs handling
Dropified,https://dropified.com,support@dropified.com,dropshipping,CN,Dropshipping automation with China suppliers
AppScenic,https://appscenic.com,hello@appscenic.com,dropshipping,CN,Dropshipping marketplace with EU/US delivery from China
DHgate,https://dhgate.com,partnerships@dhgate.com,marketplace_b2b,CN,China B2B cross-border marketplace 30M+ products
Banggood,https://banggood.com,bd@banggood.com,marketplace_b2b,CN,Global online shopping with direct China shipping
LightInTheBox,https://lightinthebox.com,partnerships@lightinthebox.com,marketplace_b2b,CN,China cross-border ecommerce to 200+ countries
Made-in-China,https://made-in-china.com,service@made-in-china.com,marketplace_b2b,CN,China B2B manufacturing sourcing platform
Global Sources,https://globalsources.com,partnerships@globalsources.com,marketplace_b2b,HK_CN,Hong Kong based China sourcing B2B platform
1688.com,https://1688.com,partner@1688.com,marketplace_b2b,CN,Alibaba's China domestic wholesale B2B platform
Joom,https://joom.com,partners@joom.com,marketplace_b2b,LV_CN,European marketplace shipping from China
Wish,https://wish.com,merchant@wish.com,marketplace_b2b,US_CN,US marketplace with majority China merchant base
Club Factory,https://clubfactory.com,bd@clubfactory.com,marketplace_b2b,CN,India-focused marketplace with China sourcing
LightSpeed Commerce,https://lscommerce.cn,info@lscommerce.cn,marketplace_b2b,CN,China cross-border commerce platform
4PX Express,https://4px.com,service@4px.com,logistics,CN,China's largest cross-border logistics operator
YunExpress,https://yunexpress.com,service@yunexpress.com,logistics,CN,China cross-border ecommerce logistics specialist
SFC Service,https://sfcservice.com,info@sfcservice.com,logistics,CN,China fulfillment and cross-border shipping
CNE Express,https://cne.com,service@cne.com,logistics,CN,China to worldwide cross-border express
Yanwen Logistics,https://yanwen.com,partnerships@yanwen.com,logistics,CN,China domestic and international logistics
Winit Logistics,https://winit.com.cn,bd@winit.com.cn,logistics,CN,China overseas warehouse and cross-border logistics
iMile Delivery,https://imile.com,bd@imile.com,logistics,AE_CN,China-backed MENA delivery platform
EWE Express,https://ewelogistic.com,bd@ewelogistic.com,logistics,CN,Southeast Asia cross-border logistics from China
UTL Express,https://utlexpress.cn,info@utlexpress.cn,logistics,CN,China international express and customs clearance
ZTO Express International,https://zto.com,intl@zto.com,logistics,CN,China's ZTO Express international shipping arm
YTO Express International,https://yto.net.cn,intl@yto.net.cn,logistics,CN,China's YTO Express international operations
SF Express International,https://sf-express.com,intl@sf-express.com,logistics,CN,China's SF Express international division
BEST Inc International,https://best-inc.com,intl@best-inc.com,logistics,CN,China logistics platform with international ops
Deppon International,https://deppon.com,intl@deppon.com,logistics,CN,China Deppon logistics international arm
GreenTech Logistics,https://greentechintl.com,info@greentechintl.com,logistics,CN,China cross-border parcel and freight
PostPanda,https://postpanda.com,bd@postpanda.com,logistics,CN,China cross-border parcel service platform
TS Express,https://tsexpress.cn,bd@tsexpress.cn,logistics,CN,China to US/EU cross-border express specialist
Aplus Express,https://aplusexpress.com,info@aplusexpress.com,logistics,CN,China cross-border small parcel specialist
Dship China,https://dship.cn,info@dship.cn,logistics,CN,China dropshipping focused shipping service
ParcelX,https://parcelx.com,info@parcelx.com,logistics,HK,Hong Kong cross-border ecommerce logistics
Qiankun Express,https://qiankunexpress.com,info@qiankunexpress.com,logistics,CN,China international logistics for ecommerce
NovaTech Shipping,https://novatechshipping.com,info@novatechshipping.com,logistics,CN,China cross-border shipping technology
WeShip,https://weship.cn,bd@weship.cn,logistics,CN,China ecommerce international shipping platform
Ewe Freight,https://eweinternational.com,freight@eweinternational.com,logistics,CN,China international freight forwarder for ecommerce
PingPong Payments,https://pingpongx.com,bd@pingpongx.com,payment,CN,China cross-border payment for ecommerce sellers
Lianlian International,https://lianlianpay.com,intl@lianlianpay.com,payment,CN,China cross-border payment platform
XTransfer,https://xtransfer.com,bd@xtransfer.com,payment,CN,China B2B cross-border payment platform
SUNRATE,https://sunrate.com,bd@sunrate.com,payment,SG_CN,Cross-border payment infrastructure Asia
OnerWay,https://onerway.com,bd@onerway.com,payment,CN,China cross-border acquiring and payment
iPayLinks,https://ipaylinks.com,bd@ipaylinks.com,payment,CN,China cross-border payment solution provider
Skyee,https://skyee.com,bd@skyee.com,payment,CN,China cross-border collections for ecommerce
Bolero Finance,https://bolero.finance,info@bolero.finance,payment,CN,Cross-border payment and FX for Chinese exporters
Dowsure,https://dowsure.com,bd@dowsure.com,payment,CN,China cross-border ecommerce payment insurance
Huanle Pay,https://huanlepay.com,bd@huanlepay.com,payment,CN,Cross-border payment platform for Chinese sellers
