company_name,website,email,industry,country,description
Zalando,https://zalando.com,partner@zalando.de,ecom_platform,DE,"Europe's largest online fashion platform, ships to 25+ EU countries"
Allegro,https://allegro.pl,partners@allegro.pl,ecom_platform,PL,"Poland's #1 marketplace, expanding cross-border to EU"
Bol.com,https://bol.com,partners@bol.com,ecom_platform,NL,"Benelux largest online retailer, cross-border shipping"
Cdiscount,https://cdiscount.com,marketplace@cdiscount.com,ecom_platform,FR,"France's #2 ecommerce platform, international sellers"
Fruugo,https://fruugo.com,partners@fruugo.com,ecom_platform,UK,"Global marketplace operating in 42 countries, 31 languages"
OnBuy,https://onbuy.com,partnerships@onbuy.com,ecom_platform,UK,UK marketplace expanding internationally
Kaufland,https://kaufland.de,marketplace@kaufland.de,ecom_platform,DE,"German marketplace by Schwarz Group, cross-border EU"
Miravia,https://miravia.com,business@miravia.com,ecom_platform,ES,Alibaba's European marketplace in Spain
Vinted,https://vinted.com,business@vinted.com,ecom_platform,LT,"European secondhand marketplace, cross-border shipping"
Manor,https://manor.ch,ecommerce@manor.ch,ecom_platform,CH,Swiss department store with international ecommerce
Coolblue,https://coolblue.nl,business@coolblue.nl,ecom_platform,NL,"Dutch electronics retailer shipping to Belgium, Germany"
Galaxus,https://galaxus.ch,business@galaxus.ch,ecom_platform,CH,Switzerland's largest online retailer
Mercado Libre,https://mercadolibre.com,partners@mercadolibre.com,ecom_platform,AR,"LATAM's largest marketplace, cross-border across 18 countries"
Falabella,https://falabella.com,marketplace@falabella.com,ecom_platform,CL,Chilean retail giant with cross-border LATAM operations
Jumia,https://jumia.com,partnerships@jumia.com,ecom_platform,NG,"Africa's largest ecommerce platform, 11 countries"
Daraz,https://daraz.com,partnerships@daraz.com,ecom_platform,PK,"South Asia marketplace (Alibaba-backed), 5 countries"
Tokopedia,https://tokopedia.com,partnerships@tokopedia.com,ecom_platform,ID,"Indonesia's largest marketplace, cross-border imports"
Tiki,https://tiki.vn,partnerships@tiki.vn,ecom_platform,VN,Vietnam's leading ecommerce platform
Flipkart,https://flipkart.com,partnerships@flipkart.com,ecom_platform,IN,"India's largest ecommerce, Walmart-owned, cross-border"
Coupang,https://coupang.com,partnerships@coupang.com,ecom_platform,KR,"Korea's largest ecommerce, Rocket Import cross-border"
Bringg,https://bringg.com,info@bringg.com,logistics,IL,Last-mile delivery orchestration for enterprise
Parcelly,https://parcelly.com,hello@parcelly.com,logistics,UK,UK parcel pickup network for ecommerce
Sendcloud,https://sendcloud.com,info@sendcloud.com,logistics,NL,European shipping automation for ecommerce
Webshipper,https://webshipper.com,info@webshipper.com,logistics,DK,Nordic shipping management platform
Paack,https://paack.co,info@paack.co,logistics,ES,European scheduled delivery platform
Outvio,https://outvio.com,info@outvio.com,logistics,ES,Post-purchase experience platform for ecommerce
Shiprocket,https://shiprocket.in,partnerships@shiprocket.in,logistics,IN,India's largest ecommerce shipping aggregator
iThink Logistics,https://ithinklogistics.com,info@ithinklogistics.com,logistics,IN,Indian ecommerce logistics aggregator
J&T Express,https://jtexpress.com,business@jtexpress.com,logistics,ID,"Southeast Asia express delivery, 13 countries"
Ninja Van,https://ninjavan.co,partnerships@ninjavan.co,logistics,SG,"Southeast Asia logistics, 6 countries"
Aramex,https://aramex.com,partnerships@aramex.com,logistics,AE,"Middle East logistics leader, 65+ countries"
Fetchr,https://fetchr.us,info@fetchr.us,logistics,AE,Middle East last-mile delivery
Starlinks,https://starlinks.com,info@starlinks.com,logistics,SA,Saudi Arabia ecommerce logistics
Qxpress,https://qxpress.net,sales@qxpress.net,logistics,SG,Asia-Pacific cross-border logistics
Anchanto,https://anchanto.com,info@anchanto.com,logistics,SG,APAC ecommerce logistics technology
Janio Asia,https://janio.asia,hello@janio.asia,logistics,SG,Southeast Asia cross-border logistics
Locad,https://golocad.com,hello@golocad.com,logistics,PH,APAC cloud fulfillment network
Shipa Delivery,https://shipa.com,info@shipa.com,logistics,KW,Middle East ecommerce delivery
Nimbuspost,https://nimbuspost.com,info@nimbuspost.com,logistics,IN,Indian cross-border shipping aggregator
Parcelx,https://parcelx.com,info@parcelx.com,logistics,HK,Asia cross-border ecommerce logistics
Adyen,https://adyen.com,partnerships@adyen.com,payment,NL,"Global payment platform, cross-border transactions"
Klarna,https://klarna.com,partnerships@klarna.com,payment,SE,"BNPL leader, international shopping"
dLocal,https://dlocal.com,info@dlocal.com,payment,UY,"Emerging market payments, 40 countries"
Rapyd,https://rapyd.net,partnerships@rapyd.net,payment,UK,Global fintech-as-a-service platform
