_bucket,id,ruling_id,source,issuing_country,jurisdiction,hs6,hs_code,chapter,product_name,material,material_composition,product_form,intended_use,conditional_rules,ruling_date,valid_from,valid_to,status,language,confidence_score,needs_manual_review,keywords,categories,collection,review_verdict,review_issue_category,review_notes
high_conf_active,29,N354602,cbp_cross,US,US,020230,0202305025,2,Frozen Boneless Beef,,,frozen,food,,2025-10-29,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,32,N357452,cbp_cross,US,US,020230,0202305035,2,Frozen Boneless Marinated Beef,,,frozen,food,,2026-01-23,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,36,N309844,cbp_cross,US,US,020322,0203229000,2,Frozen Pork Loin Ribs,bone,,frozen,food,,2020-03-10,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,38,N357487,cbp_cross,US,US,020230,0202305085,2,Frozen Seasoned Beef,,,frozen,food,,2026-01-28,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,40,N342847,cbp_cross,US,US,020230,0202305085,2,Frozen Seasoned Boneless Beef,plastic,,ground,clothing,,2024-10-23,,,active,en,1,false,,Classification,ny,,,
high_conf_active,41,N342847,cbp_cross,US,US,990402,99040201,99,Frozen Seasoned Boneless Beef,plastic,,ground,clothing,,2024-10-23,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,47,N350527,cbp_cross,US,US,020230,0202305085,2,Seasoned Frozen Boneless Beef,,,frozen,clothing,,2025-07-23,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,58,N288024,cbp_cross,US,US,020230,0202305045,2,The tariff classification and status under the United States-Australia Free Trade Agreement (UAFTA) of Frozen Water Buffalo Meat,cardboard,,ground,food,,2017-08-07,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,59,N288024,cbp_cross,US,US,020290,0202908000,2,The tariff classification and status under the United States-Australia Free Trade Agreement (UAFTA) of Frozen Water Buffalo Meat,cardboard,,ground,food,,2017-08-07,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,60,N288024,cbp_cross,US,US,990402,99040201,99,The tariff classification and status under the United States-Australia Free Trade Agreement (UAFTA) of Frozen Water Buffalo Meat,cardboard,,ground,food,,2017-08-07,,,active,en,0.9,false,,Classification,ny,,,
