company_name,website,email,email_source,industry,country,description,employee_count
NextSmartShip,https://www.nextsmartship.com,sales@nextsmartship.com,website contact page,logistics_startup,CN,Global eCommerce fulfillment from China with 400+ shipping channels to 220+ countries,50-200
International 3PL,https://international3pl.com,info@international3pl.com,website contact page,logistics_startup,US,South Florida fulfillment for ecommerce retail and marketplace sellers,20-50
Boxme,https://boxme.asia,mark@boxme.asia,Crunchbase company profile,logistics_startup,VN,Southeast Asia ecommerce fulfillment - Vietnam Thailand Philippines,50-200
Virtina,https://virtina.com,hello@virtina.com,web search result,ecom_tools,US,Cross-border ecommerce solutions and development agency,50-100
Webinterpret,https://webinterpret.com,support@webinterpret.com,web search result,ecom_tools,PL,Cross-border ecommerce software for eBay and Amazon sellers,100-500
Samarkand Global,https://samarkand.global,info@samarkand.global,web search result,ecom_tools,UK,Cross-border ecommerce platform for health and beauty brands,50-200
Shipwire,https://www.shipwire.com,customercare@shipwire.com,web search result,logistics_startup,US,Global fulfillment and 3PL services for brands and retailers (CEVA Logistics),100-500
ShipMonk,https://www.shipmonk.com,info@shipmonk.com,web search result,logistics_startup,US,Tech-driven 3PL with 12 fulfillment centers in US Canada Mexico UK,2000+
FlavorCloud,https://www.flavorcloud.com,info@flavorcloud.com,website contact page schema,logistics_startup,US,Cross-border logistics platform - carrier-agnostic shipping and returns network,20-50
Flow Commerce,https://www.flow.io,contact@flow.io,web search result,ecom_tools,US,Cloud-based cross-border ecommerce solution (acquired by Global-e),100-200
Taxually,https://www.taxually.com,hello@taxually.com,web search result,ecom_tools,HU,Full tax compliance suite - VAT sales tax and regulatory duties across borders,50-100
Nium,https://www.nium.com,media@nium.com,web search result,payment_startup,SG,Global payments infrastructure for cross-border B2B payments,500+
Ebury,https://ebury.com,mpinfo@ebury.com,web search result,payment_startup,UK,Cross-border payment solutions and FX for SMEs and mid-caps,500+
PayPro Global,https://payproglobal.com,support@payproglobal.com,web search result,payment_startup,CA,E-commerce payment solutions for software SaaS and digital goods,100-200
BorderBuddy,https://borderbuddy.com,service@borderbuddy.com,website contact page,ecom_tools,CA,Cross-border customs services for Canada and US small businesses,20-50
ShipHype,https://shiphype.com,hello@shiphype.com,website contact page,logistics_startup,CA,3PL for worldwide shipping solutions and international fulfillment,50-100
The Fulfillment Lab,https://www.thefulfillmentlab.com,info@thefulfillmentlab.com,website schema markup,logistics_startup,US,Custom fulfillment solutions for ecommerce brands,50-100
Calcurates,https://calcurates.com,info@calcurates.com,web search result,ecom_tools,SK,Shipping rate calculator with duties and taxes for Shopify Magento WooCommerce,10-30
Livingston International,https://www.livingstonintl.com,info@livingstonintl.com,web search result,logistics_startup,CA,North Americas largest customs broker and trade management company,3000+
Go Direct Global,https://godirectsolutions.com,sales@godirectsolutions.com,web search result,logistics_startup,CA,3PL fulfillment for CPG nutraceuticals food and consumer electronics,100-200
Noissue,https://noissue.co,support@noissue.co,web search result,ecom_tools,NZ,Sustainable custom packaging solutions for DTC brands worldwide,50-100
Easyship,https://www.easyship.com,help@easyship.com,web search result,logistics_startup,US,Multi-carrier shipping software with international duties and taxes calculation,100-200
